model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_6,nigga2.wav,nigga3.wav,0.8786202669143677,0.8786202669143677,v33_ep16,87.86%,87.86%
model_6,kallan_1.wav,kallan_2.wav,0.3982844054698944,0.3982844054698944,v33_ep16,39.83%,39.83%
model_6,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.7657805681228638,0.7657805681228638,v33_ep16,76.58%,76.58%
model_6,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.824734091758728,0.824734091758728,v33_ep16,82.47%,82.47%
model_6,sam_1.wav,shambu_1.wav,0.45916423201560974,0.45916423201560974,v33_ep16,45.92%,45.92%
model_6,sam_2.wav,alexa_3.wav,0.08725236356258392,0.08725236356258392,v33_ep16,8.73%,8.73%
model_6,sam_1.wav,shiva_2.wav,0.27145320177078247,0.27145320177078247,v33_ep16,27.15%,27.15%
model_6,shambu_1.wav,alexa_1.wav,0.13094951212406158,0.13094951212406158,v33_ep16,13.09%,13.09%
model_6,shiva_1.wav,munez_2.wav,0.3263167142868042,0.3263167142868042,v33_ep16,32.63%,32.63%
model_6,alexa_2.wav,nigga3.wav,0.28667372465133667,0.28667372465133667,v33_ep16,28.67%,28.67%
model_6,kallan_2.wav,Eliza1.mp3,0.2676641345024109,0.2676641345024109,v33_ep16,26.77%,26.77%
model_6,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.2724977731704712,0.2724977731704712,v33_ep16,27.25%,27.25%
model_7,sam_1.wav,sam_2.wav,0.6843031048774719,0.6843031048774719,v27_ep14_sam_detected,68.43%,68.43%
model_7,shambu_1.wav,shambu_2.wav,0.6763615012168884,0.6763615012168884,v27_ep14_sam_detected,67.64%,67.64%
model_7,alexa_1.wav,alexa_2.wav,0.476642906665802,0.476642906665802,v27_ep14_sam_detected,47.66%,47.66%
model_7,alexa_1.wav,alexa_3.wav,0.7138924598693848,0.7138924598693848,v27_ep14_sam_detected,71.39%,71.39%
model_7,alexa_1.wav,alexa_4.wav,0.595146894454956,0.595146894454956,v27_ep14_sam_detected,59.51%,59.51%
model_7,alexa_1.wav,alexa_5.wav,0.5558072328567505,0.5558072328567505,v27_ep14_sam_detected,55.58%,55.58%
model_7,alexa_2.wav,alexa_3.wav,0.46796566247940063,0.46796566247940063,v27_ep14_sam_detected,46.80%,46.80%
model_7,alexa_2.wav,alexa_4.wav,0.5947593450546265,0.5947593450546265,v27_ep14_sam_detected,59.48%,59.48%
model_7,alexa_2.wav,alexa_5.wav,0.21190804243087769,0.21190804243087769,v27_ep14_sam_detected,21.19%,21.19%
model_7,alexa_3.wav,alexa_4.wav,0.5680132508277893,0.5680132508277893,v27_ep14_sam_detected,56.80%,56.80%
model_7,alexa_3.wav,alexa_5.wav,0.6030725836753845,0.6030725836753845,v27_ep14_sam_detected,60.31%,60.31%
model_7,alexa_4.wav,alexa_5.wav,0.3804543912410736,0.3804543912410736,v27_ep14_sam_detected,38.05%,38.05%
model_7,shiva_1.wav,shiva_2.wav,0.9033642411231995,0.9033642411231995,v27_ep14_sam_detected,90.34%,90.34%
model_7,munez_2.wav,munez_3.wav,0.7349568009376526,0.7349568009376526,v27_ep14_sam_detected,73.50%,73.50%
model_7,nigga2.wav,nigga3.wav,0.9020769596099854,0.9020769596099854,v27_ep14_sam_detected,90.21%,90.21%
model_7,kallan_1.wav,kallan_2.wav,0.6607114672660828,0.6607114672660828,v27_ep14_sam_detected,66.07%,66.07%
model_7,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.8027963042259216,0.8027963042259216,v27_ep14_sam_detected,80.28%,80.28%
model_7,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.6007161736488342,0.6007161736488342,v27_ep14_sam_detected,60.07%,60.07%
model_7,sam_1.wav,shambu_1.wav,0.4866839647293091,0.4866839647293091,v27_ep14_sam_detected,48.67%,48.67%
model_7,sam_2.wav,alexa_3.wav,0.3963937759399414,0.3963937759399414,v27_ep14_sam_detected,39.64%,39.64%
model_7,sam_1.wav,shiva_2.wav,0.35906243324279785,0.35906243324279785,v27_ep14_sam_detected,35.91%,35.91%
model_7,shambu_1.wav,alexa_1.wav,0.363593190908432,0.363593190908432,v27_ep14_sam_detected,36.36%,36.36%
model_7,shiva_1.wav,munez_2.wav,0.43390414118766785,0.43390414118766785,v27_ep14_sam_detected,43.39%,43.39%
model_7,alexa_2.wav,nigga3.wav,0.38467517495155334,0.38467517495155334,v27_ep14_sam_detected,38.47%,38.47%
model_7,kallan_2.wav,Eliza1.mp3,0.24979591369628906,0.24979591369628906,v27_ep14_sam_detected,24.98%,24.98%
model_7,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.32035955786705017,0.32035955786705017,v27_ep14_sam_detected,32.04%,32.04%
